iter	Passed	Remaining
687	1041	472
688	1042	470
689	1043	468
690	1045	467
691	1046	465
692	1048	464
693	1049	462
694	1050	461
695	1051	459
696	1053	457
697	1054	456
698	1055	454
699	1056	452
700	1057	451
701	1058	449
702	1059	447
703	1061	446
704	1062	444
705	1063	442
706	1064	441
707	1066	439
708	1067	437
709	1068	436
710	1069	434
711	1070	432
712	1071	431
713	1072	429
714	1073	428
715	1075	426
716	1076	425
717	1078	423
718	1079	421
719	1080	420
720	1081	418
721	1083	417
722	1084	415
723	1085	413
724	1087	412
725	1088	410
726	1090	409
727	1091	407
728	1093	406
729	1095	405
730	1096	403
731	1097	401
732	1099	400
733	1100	398
734	1101	397
735	1102	395
736	1103	393
737	1105	392
738	1106	390
739	1108	389
740	1109	387
741	1110	386
742	1112	384
743	1113	383
744	1114	381
745	1115	379
746	1117	378
747	1118	376
748	1120	375
749	1121	373
750	1122	372
751	1124	370
752	1125	369
753	1126	367
754	1127	365
755	1128	364
756	1129	362
757	1130	361
758	1132	359
759	1133	358
760	1134	356
761	1136	354
762	1137	353
763	1138	351
764	1139	350
765	1141	348
766	1142	346
767	1143	345
768	1144	343
769	1145	342
770	1147	340
771	1148	339
772	1149	337
773	1150	336
774	1152	334
775	1153	332
776	1154	331
777	1155	329
778	1157	328
779	1158	326
780	1159	325
781	1160	323
782	1161	321
783	1163	320
784	1164	318
785	1165	317
786	1166	315
787	1167	314
788	1168	312
789	1170	311
790	1171	309
791	1172	307
792	1173	306
793	1174	304
794	1175	303
795	1177	301
796	1178	300
797	1179	298
798	1180	297
799	1181	295
800	1182	293
801	1183	292
802	1184	290
803	1185	289
804	1187	287
805	1188	285
806	1189	284
807	1190	282
808	1191	281
809	1192	279
810	1193	278
811	1194	276
812	1195	275
813	1196	273
814	1197	271
815	1198	270
816	1200	268
817	1201	267
818	1202	265
819	1203	264
820	1204	262
821	1205	260
822	1206	259
823	1207	257
824	1208	256
825	1209	254
826	1211	253
827	1212	251
828	1213	250
829	1214	248
830	1215	247
831	1216	245
832	1217	244
833	1218	242
834	1220	241
835	1221	239
836	1222	238
837	1223	236
838	1224	235
839	1226	233
840	1227	232
841	1228	230
842	1229	229
843	1230	227
844	1232	226
845	1233	224
846	1234	222
847	1235	221
848	1237	220
849	1238	218
850	1239	216
851	1240	215
852	1241	213
853	1242	212
854	1243	210
855	1244	209
856	1245	207
857	1246	206
858	1247	204
859	1248	203
860	1249	201
861	1251	200
862	1252	198
863	1253	197
864	1254	195
865	1255	194
866	1256	192
867	1257	191
868	1258	189
869	1259	188
870	1260	186
871	1261	185
872	1262	183
873	1263	182
874	1264	180
875	1266	179
876	1267	177
877	1268	176
878	1269	174
879	1270	173
880	1271	171
881	1272	170
882	1273	168
883	1275	167
884	1276	165
885	1277	164
886	1278	162
887	1279	161
888	1280	159
889	1281	158
890	1282	156
891	1283	155
892	1285	153
893	1286	152
894	1287	150
895	1288	149
896	1289	148
897	1290	146
898	1291	145
899	1292	143
900	1293	142
901	1294	140
902	1295	139
903	1296	137
904	1297	136
905	1298	134
906	1300	133
907	1301	131
908	1302	130
909	1303	128
910	1304	127
911	1305	125
912	1306	124
913	1307	123
914	1309	121
915	1310	120
916	1311	118
917	1312	117
918	1313	115
919	1314	114
920	1315	112
921	1316	111
922	1317	109
923	1318	108
924	1319	106
925	1320	105
926	1321	104
927	1322	102
928	1324	101
929	1325	99
930	1326	98
931	1327	96
932	1329	95
933	1330	93
934	1331	92
935	1332	91
936	1333	89
937	1334	88
938	1335	86
939	1336	85
940	1337	83
941	1339	82
942	1340	81
943	1341	79
944	1342	78
945	1344	76
946	1345	75
947	1346	73
948	1347	72
949	1348	70
950	1349	69
951	1350	68
952	1352	66
953	1353	65
954	1354	63
955	1356	62
956	1357	60
957	1358	59
958	1359	58
959	1360	56
960	1362	55
961	1363	53
962	1364	52
963	1365	51
964	1366	49
965	1368	48
966	1369	46
967	1370	45
968	1371	43
969	1373	42
970	1374	41
971	1375	39
972	1376	38
973	1377	36
974	1378	35
975	1379	33
976	1381	32
977	1382	31
978	1383	29
979	1385	28
980	1386	26
981	1387	25
982	1388	24
983	1389	22
984	1390	21
985	1391	19
986	1392	18
987	1394	16
988	1395	15
989	1396	14
990	1398	12
991	1399	11
992	1400	9
993	1401	8
994	1402	7
995	1403	5
996	1404	4
997	1405	2
998	1406	1
999	1407	0
